Tatget Distance: 50, Step Size: 2
128: (x,y) = (-12.6163, 11.1604)
129: (x,y) = (-14.4434, 10.3469)
130: (x,y) = (-16.2254, 11.2549)
131: (x,y) = (-17.2853, 12.951)
132: (x,y) = (-19.2078, 12.3997)
133: (x,y) = (-21.0749, 11.683)
134: (x,y) = (-23.0068, 11.1653)
135: (x,y) = (-22.1933, 9.33825)
136: (x,y) = (-24.193, 9.30335)
137: (x,y) = (-25.132, 11.0692)
138: (x,y) = (-24.8882, 13.0543)
139: (x,y) = (-25.7962, 11.2723)
140: (x,y) = (-23.7974, 11.2025)
141: (x,y) = (-23.6579, 9.20739)
142: (x,y) = (-23.7277, 11.2062)
143: (x,y) = (-25.725, 11.1015)
144: (x,y) = (-24.3357, 9.66283)
145: (x,y) = (-25.454, 8.00475)
146: (x,y) = (-25.0724, 6.0415)
147: (x,y) = (-26.8544, 5.13351)
148: (x,y) = (-26.2697, 7.04612)
149: (x,y) = (-27.2086, 8.81202)
150: (x,y) = (-29.0758, 8.09528)
151: (x,y) = (-27.3099, 9.03423)
152: (x,y) = (-29.1771, 8.31749)
153: (x,y) = (-30.116, 10.0834)
154: (x,y) = (-28.1163, 10.0485)
155: (x,y) = (-26.7021, 8.63427)
156: (x,y) = (-28.4164, 7.60419)
157: (x,y) = (-27.3864, 9.31853)
158: (x,y) = (-29.2885, 9.93656)
159: (x,y) = (-28.7037, 8.02395)
160: (x,y) = (-30.6843, 8.3023)
161: (x,y) = (-32.0225, 6.81601)
162: (x,y) = (-31.2411, 8.65702)
163: (x,y) = (-30.3958, 6.8444)
164: (x,y) = (-32.0341, 7.99155)
165: (x,y) = (-32.2084, 9.98394)
166: (x,y) = (-34.0995, 10.6351)
167: (x,y) = (-34.5833, 8.69449)
168: (x,y) = (-32.7162, 9.41122)
169: (x,y) = (-31.7465, 7.66198)
170: (x,y) = (-33.7356, 7.45293)
171: (x,y) = (-35.7207, 7.69667)
172: (x,y) = (-33.7234, 7.80134)
173: (x,y) = (-35.6144, 7.1502)
174: (x,y) = (-36.8731, 5.59591)
175: (x,y) = (-36.7684, 3.59865)
176: (x,y) = (-34.9708, 2.72191)
177: (x,y) = (-36.8934, 2.17063)
178: (x,y) = (-38.4906, 3.37426)
179: (x,y) = (-37.8726, 1.47215)
180: (x,y) = (-35.8753, 1.57682)
181: (x,y) = (-36.8753, -0.155228)
182: (x,y) = (-36.1913, -2.03461)
183: (x,y) = (-37.9405, -1.06499)
184: (x,y) = (-37.1913, -2.91936)
185: (x,y) = (-39.1138, -2.36809)
186: (x,y) = (-39.8631, -4.22245)
187: (x,y) = (-41.7949, -4.74009)
188: (x,y) = (-43.453, -3.62171)
189: (x,y) = (-41.8147, -4.76886)
190: (x,y) = (-43.1268, -6.27828)
191: (x,y) = (-41.1514, -6.59115)
192: (x,y) = (-41.6691, -8.523)
193: (x,y) = (-39.6994, -8.8703)
194: (x,y) = (-41.4653, -9.80924)
195: (x,y) = (-40.4353, -8.0949)
196: (x,y) = (-41.4653, -9.80924)
197: (x,y) = (-39.788, -8.71996)
198: (x,y) = (-41.4653, -7.63068)
199: (x,y) = (-40.9815, -9.57127)
200: (x,y) = (-41.9204, -11.3372)
201: (x,y) = (-40.0294, -11.9883)
202: (x,y) = (-38.7981, -10.4123)
203: (x,y) = (-39.0418, -8.42719)
204: (x,y) = (-40.9906, -7.97729)
205: (x,y) = (-39.4811, -9.28941)
206: (x,y) = (-37.7319, -10.259)
207: (x,y) = (-37.6272, -8.26177)
208: (x,y) = (-39.2853, -7.14338)
209: (x,y) = (-37.4181, -7.86012)
210: (x,y) = (-36.8001, -5.95801)
211: (x,y) = (-36.6954, -7.95526)
212: (x,y) = (-36.5908, -5.95801)
213: (x,y) = (-35.0147, -7.18933)
214: (x,y) = (-34.3636, -5.29829)
215: (x,y) = (-35.5672, -6.89556)
216: (x,y) = (-37.1215, -8.1542)
217: (x,y) = (-35.5672, -6.89556)
218: (x,y) = (-35.1856, -4.93231)
219: (x,y) = (-33.3062, -5.61635)
220: (x,y) = (-35.1038, -6.49309)
221: (x,y) = (-36.0734, -4.74385)
222: (x,y) = (-37.3856, -3.23443)
223: (x,y) = (-38.0367, -1.34339)
224: (x,y) = (-39.0668, 0.37094)
225: (x,y) = (-38.4156, -1.5201)
226: (x,y) = (-38.2066, -3.50914)
227: (x,y) = (-39.0833, -5.30673)
228: (x,y) = (-37.1608, -4.75545)
229: (x,y) = (-38.4194, -6.30975)
230: (x,y) = (-38.9707, -4.38722)
231: (x,y) = (-37.7951, -2.76919)
232: (x,y) = (-39.7077, -3.35393)
233: (x,y) = (-41.4736, -4.29288)
234: (x,y) = (-42.1577, -6.17226)
235: (x,y) = (-40.1944, -6.55388)
236: (x,y) = (-39.6097, -8.46649)
237: (x,y) = (-41.2277, -7.29092)
238: (x,y) = (-39.9421, -5.75883)
239: (x,y) = (-40.4598, -3.82698)
240: (x,y) = (-38.7105, -2.85736)
241: (x,y) = (-36.7154, -2.71784)
242: (x,y) = (-35.597, -1.05977)
243: (x,y) = (-37.3114, -2.08985)
244: (x,y) = (-38.7741, -0.725849)
245: (x,y) = (-36.8253, -0.275947)
246: (x,y) = (-36.8253, -2.27595)
247: (x,y) = (-38.7572, -2.79359)
248: (x,y) = (-36.7876, -2.44629)
249: (x,y) = (-36.8225, -4.44598)
250: (x,y) = (-36.7178, -2.44873)
251: (x,y) = (-34.8384, -3.13277)
252: (x,y) = (-35.4232, -1.22016)
253: (x,y) = (-33.8259, -2.42379)
254: (x,y) = (-31.9587, -3.14052)
255: (x,y) = (-29.9587, -3.14052)
256: (x,y) = (-30.6755, -5.00768)
257: (x,y) = (-32.1618, -6.34594)
258: (x,y) = (-30.3074, -7.09516)
259: (x,y) = (-28.6893, -8.27073)
260: (x,y) = (-30.5687, -8.95477)
261: (x,y) = (-28.9715, -10.1584)
262: (x,y) = (-27.4394, -8.87282)
263: (x,y) = (-27.5092, -10.8716)
264: (x,y) = (-29.4579, -10.4217)
265: (x,y) = (-27.8606, -11.6253)
266: (x,y) = (-26.3744, -10.2871)
267: (x,y) = (-25.9927, -12.2503)
268: (x,y) = (-25.2435, -10.396)
269: (x,y) = (-23.6675, -11.6273)
270: (x,y) = (-25.2218, -10.3686)
271: (x,y) = (-24.1325, -12.046)
272: (x,y) = (-25.4965, -10.5833)
273: (x,y) = (-27.4719, -10.2704)
274: (x,y) = (-27.1935, -8.28987)
275: (x,y) = (-27.2284, -10.2896)
276: (x,y) = (-26.8812, -8.31995)
277: (x,y) = (-25.1491, -7.31995)
278: (x,y) = (-23.4348, -6.28987)
279: (x,y) = (-23.9524, -4.35802)
280: (x,y) = (-23.9873, -6.35772)
281: (x,y) = (-22.0747, -5.77297)
282: (x,y) = (-22.4563, -7.73623)
283: (x,y) = (-24.2973, -6.95476)
284: (x,y) = (-22.6012, -8.0146)
285: (x,y) = (-24.4923, -7.36347)
286: (x,y) = (-23.1283, -8.82617)
287: (x,y) = (-24.4665, -10.3125)
288: (x,y) = (-25.976, -9.00035)
289: (x,y) = (-26.7252, -10.8547)
290: (x,y) = (-27.9838, -9.30042)
291: (x,y) = (-26.0275, -8.8846)
292: (x,y) = (-27.0275, -10.6166)
293: (x,y) = (-25.105, -11.1679)
294: (x,y) = (-27.0368, -10.6503)
295: (x,y) = (-25.0396, -10.5456)
296: (x,y) = (-26.2709, -8.96959)
297: (x,y) = (-24.7615, -10.2817)
298: (x,y) = (-26.0471, -8.74962)
299: (x,y) = (-24.4088, -7.60247)
300: (x,y) = (-23.0448, -6.13976)
301: (x,y) = (-24.9469, -6.7578)
302: (x,y) = (-26.5229, -7.98912)
303: (x,y) = (-28.5034, -8.26746)
304: (x,y) = (-28.1561, -6.29785)
305: (x,y) = (-26.1637, -6.12354)
306: (x,y) = (-26.6136, -8.07228)
307: (x,y) = (-25.0164, -9.27591)
308: (x,y) = (-24.738, -7.29537)
309: (x,y) = (-26.7134, -6.9825)
310: (x,y) = (-26.9571, -8.96759)
311: (x,y) = (-25.9571, -7.23554)
312: (x,y) = (-26.7386, -9.07655)
313: (x,y) = (-24.8842, -9.82577)
314: (x,y) = (-23.2662, -8.6502)
315: (x,y) = (-22.7824, -10.5908)
316: (x,y) = (-22.0656, -8.72363)
317: (x,y) = (-20.0705, -8.58411)
318: (x,y) = (-20.884, -6.75702)
319: (x,y) = (-22.7111, -5.94355)
320: (x,y) = (-21.1138, -7.14718)
321: (x,y) = (-22.9409, -7.96065)
322: (x,y) = (-22.0956, -9.77327)
323: (x,y) = (-20.2285, -10.49)
324: (x,y) = (-22.2209, -10.6643)
325: (x,y) = (-24.1003, -11.3484)
326: (x,y) = (-23.5826, -9.4165)
327: (x,y) = (-21.8683, -8.38643)
328: (x,y) = (-19.9458, -8.9377)
329: (x,y) = (-21.0929, -10.576)
330: (x,y) = (-20.8146, -12.5565)
331: (x,y) = (-20.0654, -10.7022)
332: (x,y) = (-18.0702, -10.5627)
333: (x,y) = (-20.019, -10.1128)
334: (x,y) = (-18.0784, -9.62892)
335: (x,y) = (-16.103, -9.94179)
336: (x,y) = (-14.739, -8.47908)
337: (x,y) = (-12.7585, -8.75742)
338: (x,y) = (-11.3691, -10.1961)
339: (x,y) = (-9.60325, -9.25716)
340: (x,y) = (-7.62272, -8.97881)
341: (x,y) = (-9.38861, -9.91776)
342: (x,y) = (-7.38983, -9.98756)
343: (x,y) = (-5.43353, -10.4034)
344: (x,y) = (-4.14796, -11.9355)
345: (x,y) = (-4.11305, -9.93577)
346: (x,y) = (-6.11184, -10.0056)
347: (x,y) = (-4.64913, -8.64158)
348: (x,y) = (-5.26716, -10.5437)
349: (x,y) = (-4.17788, -12.221)
350: (x,y) = (-5.5921, -13.6352)
351: (x,y) = (-4.38847, -12.038)
352: (x,y) = (-5.85118, -13.402)
353: (x,y) = (-6.40245, -15.3245)
354: (x,y) = (-7.95674, -14.0659)
355: (x,y) = (-9.16037, -15.6631)
356: (x,y) = (-8.77875, -13.6999)
357: (x,y) = (-7.87077, -11.9179)
358: (x,y) = (-6.31648, -13.1765)
359: (x,y) = (-4.42544, -12.5254)
360: (x,y) = (-2.53441, -13.1765)
361: (x,y) = (-0.820073, -14.2066)
362: (x,y) = (1.17993, -14.2066)
363: (x,y) = (3.16046, -14.4849)
364: (x,y) = (2.22152, -16.2508)
365: (x,y) = (1.31354, -18.0328)
366: (x,y) = (3.30258, -17.8238)
367: (x,y) = (1.30532, -17.9284)
368: (x,y) = (3.13242, -17.115)
369: (x,y) = (1.47434, -15.9966)
370: (x,y) = (3.4716, -16.1013)
371: (x,y) = (4.44122, -14.352)
372: (x,y) = (2.88693, -13.0934)
373: (x,y) = (1.82709, -11.3973)
374: (x,y) = (2.27699, -13.346)
375: (x,y) = (3.6912, -14.7602)
376: (x,y) = (2.63136, -13.0641)
377: (x,y) = (2.3185, -15.0395)
378: (x,y) = (2.42317, -17.0368)
379: (x,y) = (3.81248, -15.5981)
380: (x,y) = (1.81279, -15.5632)
381: (x,y) = (3.75338, -16.047)
382: (x,y) = (5.6759, -15.4958)
383: (x,y) = (6.52114, -13.6831)
384: (x,y) = (4.78909, -12.6831)
385: (x,y) = (5.17071, -10.7199)
386: (x,y) = (6.37434, -12.3172)
387: (x,y) = (4.4256, -12.7671)
388: (x,y) = (4.25129, -10.7747)
389: (x,y) = (5.58955, -9.28838)
390: (x,y) = (6.40302, -7.46129)
391: (x,y) = (8.16892, -8.40023)
392: (x,y) = (8.13401, -6.40054)
393: (x,y) = (6.13523, -6.33074)
394: (x,y) = (6.27474, -4.33561)
395: (x,y) = (4.83606, -5.72493)
396: (x,y) = (5.8959, -4.02883)
397: (x,y) = (7.84464, -3.57893)
398: (x,y) = (9.81426, -3.92623)
399: (x,y) = (9.16312, -5.81726)
400: (x,y) = (10.6952, -7.10284)
401: (x,y) = (12.5973, -6.4848)
402: (x,y) = (11.4218, -4.86677)
403: (x,y) = (13.1876, -5.80571)
404: (x,y) = (15.1003, -5.22097)
405: (x,y) = (13.1515, -4.77107)
406: (x,y) = (13.8027, -2.88003)
407: (x,y) = (14.7723, -1.13079)
408: (x,y) = (15.0851, -3.10617)
409: (x,y) = (15.6364, -1.18364)
410: (x,y) = (15.7411, 0.813615)
411: (x,y) = (17.7107, 1.16091)
412: (x,y) = (17.6409, -0.83787)
413: (x,y) = (15.6713, -1.18517)
414: (x,y) = (16.4205, -3.03953)
415: (x,y) = (14.6713, -2.06991)
416: (x,y) = (12.7802, -2.72105)
417: (x,y) = (14.2896, -4.03317)
418: (x,y) = (15.9077, -5.20874)
419: (x,y) = (17.8395, -4.6911)
420: (x,y) = (16.2852, -3.43246)
421: (x,y) = (14.7758, -2.12034)
422: (x,y) = (15.8357, -3.81644)
423: (x,y) = (13.8869, -4.26634)
424: (x,y) = (13.574, -2.29096)
425: (x,y) = (13.1582, -4.24726)
426: (x,y) = (14.8356, -3.15798)
427: (x,y) = (16.8328, -3.26265)
428: (x,y) = (15.2785, -4.52129)
429: (x,y) = (13.7691, -5.83341)
430: (x,y) = (12.9877, -3.9924)
431: (x,y) = (14.8548, -4.70914)
432: (x,y) = (12.8658, -4.50008)
433: (x,y) = (11.8059, -6.19618)
434: (x,y) = (10.0567, -7.1658)
435: (x,y) = (11.4207, -8.6285)
436: (x,y) = (11.4207, -6.6285)
437: (x,y) = (10.704, -8.49567)
438: (x,y) = (8.89134, -7.65043)
439: (x,y) = (8.3737, -5.71858)
440: (x,y) = (7.9238, -7.66732)
441: (x,y) = (7.07856, -5.8547)
442: (x,y) = (8.67583, -7.05833)
443: (x,y) = (8.19199, -8.99892)
444: (x,y) = (9.45063, -10.5532)
445: (x,y) = (11.1827, -9.55322)
446: (x,y) = (11.734, -7.63069)
447: (x,y) = (11.2841, -9.57943)
448: (x,y) = (13.0161, -10.5794)
449: (x,y) = (13.9241, -12.3614)
450: (x,y) = (12.0447, -11.6774)
451: (x,y) = (13.8423, -10.8007)
452: (x,y) = (14.8423, -12.5327)
453: (x,y) = (16.6549, -13.3779)
454: (x,y) = (18.4959, -14.1594)
455: (x,y) = (19.2126, -16.0266)
456: (x,y) = (17.6366, -14.7952)
457: (x,y) = (17.6715, -12.7956)
458: (x,y) = (19.2036, -11.51)
459: (x,y) = (20.5419, -10.0237)
460: (x,y) = (20.7856, -8.0386)
461: (x,y) = (20.8903, -10.0359)
462: (x,y) = (18.9416, -9.58595)
463: (x,y) = (16.9428, -9.65575)
464: (x,y) = (15.6572, -11.1878)
465: (x,y) = (14.0392, -12.3634)
466: (x,y) = (12.172, -13.0801)
467: (x,y) = (13.3756, -14.6774)
468: (x,y) = (14.885, -13.3653)
469: (x,y) = (13.9154, -11.6161)
470: (x,y) = (13.2643, -13.5071)
471: (x,y) = (11.2838, -13.2288)
472: (x,y) = (12.5151, -11.6527)
473: (x,y) = (12.9309, -9.69644)
474: (x,y) = (13.8076, -11.494)
475: (x,y) = (15.8073, -11.4591)
476: (x,y) = (17.72, -12.0439)
477: (x,y) = (17.7897, -10.0451)
478: (x,y) = (18.5712, -8.20407)
479: (x,y) = (16.8569, -7.174)
480: (x,y) = (14.8617, -7.03448)
481: (x,y) = (13.1297, -6.03448)
482: (x,y) = (11.4716, -4.9161)
483: (x,y) = (10.9203, -6.83862)
484: (x,y) = (12.3346, -5.42441)
485: (x,y) = (10.394, -5.90825)
486: (x,y) = (9.02997, -4.44554)
487: (x,y) = (8.06035, -6.19478)
488: (x,y) = (6.50606, -7.45342)
489: (x,y) = (4.56547, -7.93727)
490: (x,y) = (6.44486, -7.25323)
491: (x,y) = (5.24123, -8.8505)
492: (x,y) = (3.24244, -8.7807)
493: (x,y) = (4.47377, -10.3567)
494: (x,y) = (2.8765, -11.5604)
495: (x,y) = (3.96577, -13.2377)
496: (x,y) = (2.13868, -14.0512)
497: (x,y) = (4.12378, -13.8074)
498: (x,y) = (5.67807, -12.5488)
499: (x,y) = (7.2961, -11.3732)
500: (x,y) = (6.38812, -9.5912)
501: (x,y) = (8.33686, -9.1413)
502: (x,y) = (8.8545, -7.20945)
503: (x,y) = (10.1131, -8.76374)
504: (x,y) = (8.2221, -8.1126)
505: (x,y) = (6.36773, -8.86182)
506: (x,y) = (7.27572, -7.0798)
507: (x,y) = (5.50982, -8.01875)
508: (x,y) = (4.0004, -6.70663)
509: (x,y) = (4.65154, -4.81559)
510: (x,y) = (5.96366, -6.32501)
511: (x,y) = (4.00736, -5.90919)
512: (x,y) = (3.55746, -7.85793)
513: (x,y) = (3.00618, -5.9354)
514: (x,y) = (2.59036, -3.97911)
515: (x,y) = (4.3396, -3.00949)
516: (x,y) = (5.51517, -4.62752)
517: (x,y) = (7.29718, -5.5355)
518: (x,y) = (7.64448, -7.50512)
519: (x,y) = (9.28278, -6.35797)
520: (x,y) = (9.73269, -4.40923)
521: (x,y) = (10.0456, -2.43385)
522: (x,y) = (12.0456, -2.43385)
523: (x,y) = (10.0468, -2.50365)
524: (x,y) = (8.28088, -3.44259)
525: (x,y) = (8.07182, -1.45355)
526: (x,y) = (9.53453, -0.0895521)
527: (x,y) = (11.1106, -1.32088)
528: (x,y) = (13.0859, -1.63374)
529: (x,y) = (13.5018, 0.322551)
530: (x,y) = (11.5212, 0.600897)
531: (x,y) = (13.2705, -0.368722)
532: (x,y) = (12.4252, 1.44389)
533: (x,y) = (11.9753, -0.504846)
534: (x,y) = (12.5266, -2.42737)
535: (x,y) = (10.557, -2.08007)
536: (x,y) = (9.00268, -0.821433)
537: (x,y) = (10.5787, 0.40989)
538: (x,y) = (9.16449, -1.00432)
539: (x,y) = (7.54646, -2.17989)
540: (x,y) = (5.57108, -1.86702)
541: (x,y) = (5.53617, 0.132671)
542: (x,y) = (7.53587, 0.0977658)
543: (x,y) = (5.53861, 0.202438)
544: (x,y) = (7.28785, -0.767182)
545: (x,y) = (9.28298, -0.627669)
546: (x,y) = (7.55093, 0.372331)
547: (x,y) = (5.55215, 0.44213)
548: (x,y) = (3.58889, 0.0605124)
549: (x,y) = (4.61897, 1.77485)
550: (x,y) = (5.67881, 0.0787508)
551: (x,y) = (6.26355, 1.99136)
552: (x,y) = (4.38416, 1.30732)
553: (x,y) = (5.82284, 2.69664)
554: (x,y) = (6.06658, 0.711544)
555: (x,y) = (8.05897, 0.885856)
556: (x,y) = (8.67701, -1.01626)
557: (x,y) = (7.39143, 0.515832)
558: (x,y) = (6.70739, -1.36355)
559: (x,y) = (5.89392, -3.19064)
560: (x,y) = (3.89514, -3.12085)
561: (x,y) = (4.61187, -1.25368)
562: (x,y) = (2.93453, -0.164406)
563: (x,y) = (1.23843, -1.22424)
564: (x,y) = (3.23082, -1.39856)
565: (x,y) = (2.41735, 0.428534)
566: (x,y) = (3.50663, 2.10588)
567: (x,y) = (2.44679, 3.80197)
568: (x,y) = (4.04406, 5.0056)
569: (x,y) = (3.07444, 3.25636)
570: (x,y) = (4.67171, 2.05273)
571: (x,y) = (4.98458, 4.02811)
572: (x,y) = (6.97363, 4.23717)
573: (x,y) = (8.43633, 2.87317)
574: (x,y) = (6.88204, 4.13181)
575: (x,y) = (8.69466, 3.28657)
576: (x,y) = (6.78205, 3.87132)
577: (x,y) = (5.46993, 5.38074)
578: (x,y) = (4.88519, 3.46813)
579: (x,y) = (6.76457, 2.78409)
580: (x,y) = (7.07744, 4.75946)
581: (x,y) = (5.8188, 6.31375)
582: (x,y) = (7.81758, 6.24396)
583: (x,y) = (8.36886, 4.32143)
584: (x,y) = (7.08328, 5.85352)
585: (x,y) = (8.95044, 6.57026)
586: (x,y) = (7.08328, 5.85352)
587: (x,y) = (7.80002, 3.98636)
588: (x,y) = (7.80002, 1.98636)
589: (x,y) = (5.80276, 2.09103)
590: (x,y) = (7.60034, 1.21429)
591: (x,y) = (7.70502, 3.21155)
592: (x,y) = (8.32305, 5.11366)
593: (x,y) = (7.77178, 7.03619)
594: (x,y) = (9.53767, 6.09724)
595: (x,y) = (11.1557, 7.27281)
596: (x,y) = (13.153, 7.37748)
597: (x,y) = (11.1724, 7.65583)
598: (x,y) = (10.9981, 9.64822)
599: (x,y) = (11.8434, 11.4608)
600: (x,y) = (12.9905, 13.0991)
601: (x,y) = (14.5878, 11.8955)
602: (x,y) = (14.8661, 9.91497)
603: (x,y) = (15.1445, 7.93444)
604: (x,y) = (16.4827, 6.44815)
605: (x,y) = (18.439, 6.86397)
606: (x,y) = (16.4418, 6.7593)
607: (x,y) = (18.4369, 6.61979)
608: (x,y) = (18.4369, 4.61979)
609: (x,y) = (20.4001, 5.0014)
610: (x,y) = (19.1688, 6.57743)
611: (x,y) = (17.4196, 5.60781)
612: (x,y) = (16.0813, 4.12152)
613: (x,y) = (14.0825, 4.19132)
614: (x,y) = (16.0798, 4.29599)
615: (x,y) = (14.5255, 3.03735)
616: (x,y) = (14.6302, 1.04009)
617: (x,y) = (15.114, -0.900503)
618: (x,y) = (16.3453, -2.47652)
619: (x,y) = (16.2407, -4.47378)
620: (x,y) = (18.2404, -4.50869)
621: (x,y) = (18.9571, -6.37585)
622: (x,y) = (17.0899, -5.65911)
623: (x,y) = (15.1773, -5.07437)
624: (x,y) = (13.5801, -3.87074)
625: (x,y) = (12.2161, -2.40803)
626: (x,y) = (10.2209, -2.26852)
627: (x,y) = (9.1611, -0.572423)
628: (x,y) = (7.65169, 0.739695)
629: (x,y) = (5.65656, 0.600182)
630: (x,y) = (4.29256, -0.862526)
631: (x,y) = (6.07457, 0.0454554)
632: (x,y) = (4.49855, -1.18587)
633: (x,y) = (6.26445, -2.12481)
634: (x,y) = (4.36233, -2.74284)
635: (x,y) = (5.01347, -4.63388)
636: (x,y) = (5.82694, -2.80679)
637: (x,y) = (3.87065, -3.22261)
638: (x,y) = (5.15622, -1.69053)
639: (x,y) = (6.27461, -0.0324503)
640: (x,y) = (5.62347, 1.85859)
641: (x,y) = (4.09138, 0.573012)
642: (x,y) = (5.09138, -1.15904)
643: (x,y) = (4.30992, 0.681971)
644: (x,y) = (4.8612, -1.24055)
645: (x,y) = (3.39849, -2.60455)
646: (x,y) = (1.39879, -2.63945)
647: (x,y) = (-0.0639133, -4.00345)
648: (x,y) = (-1.9433, -3.31941)
649: (x,y) = (-1.42566, -5.25126)
650: (x,y) = (-1.32099, -7.24852)
