Tatget Distance: 50, Step Size: 2
199: (x,y) = (-6.33347, 10.4713)
200: (x,y) = (-7.81976, 11.8096)
201: (x,y) = (-5.82463, 11.6701)
202: (x,y) = (-6.06837, 9.68498)
203: (x,y) = (-4.45033, 10.8605)
204: (x,y) = (-4.03451, 8.90425)
205: (x,y) = (-2.05397, 8.62591)
206: (x,y) = (-0.339638, 9.65598)
207: (x,y) = (-1.99771, 8.5376)
208: (x,y) = (-3.94645, 8.9875)
209: (x,y) = (-5.92699, 8.70915)
210: (x,y) = (-5.17778, 6.85478)
211: (x,y) = (-3.8922, 5.3227)
212: (x,y) = (-2.27417, 6.49827)
213: (x,y) = (-1.39742, 8.29585)
214: (x,y) = (0.602575, 8.29585)
215: (x,y) = (2.1786, 7.06453)
216: (x,y) = (3.35417, 5.4465)
217: (x,y) = (5.27669, 4.89522)
218: (x,y) = (6.33653, 3.19913)
219: (x,y) = (5.42855, 4.98114)
220: (x,y) = (7.1606, 3.98114)
221: (x,y) = (5.30623, 3.23193)
222: (x,y) = (7.26253, 2.8161)
223: (x,y) = (5.28199, 3.09445)
224: (x,y) = (6.18997, 1.31244)
225: (x,y) = (5.25103, 3.07833)
226: (x,y) = (5.76867, 1.14648)
227: (x,y) = (5.42137, -0.823136)
228: (x,y) = (6.00611, 1.08947)
229: (x,y) = (6.97573, 2.83871)
230: (x,y) = (5.03514, 2.35487)
231: (x,y) = (5.38244, 0.385253)
232: (x,y) = (5.38244, -1.61475)
233: (x,y) = (7.04051, -2.73313)
234: (x,y) = (9.00377, -2.35151)
235: (x,y) = (7.01472, -2.14246)
236: (x,y) = (8.78062, -3.0814)
237: (x,y) = (8.46775, -1.10602)
238: (x,y) = (6.5045, -1.48764)
239: (x,y) = (7.47411, 0.261598)
240: (x,y) = (7.78698, 2.23697)
241: (x,y) = (9.24969, 3.60097)
242: (x,y) = (8.18985, 1.90487)
243: (x,y) = (8.4682, -0.0756614)
244: (x,y) = (6.81012, 1.04272)
245: (x,y) = (5.44613, 2.50543)
246: (x,y) = (5.37633, 0.50665)
247: (x,y) = (6.83903, -0.857347)
248: (x,y) = (6.49174, -2.82696)
249: (x,y) = (6.07592, -4.78326)
250: (x,y) = (4.6617, -6.19747)
251: (x,y) = (2.82069, -6.97893)
252: (x,y) = (4.35278, -5.69336)
253: (x,y) = (3.66874, -3.81397)
254: (x,y) = (5.32682, -2.69559)
255: (x,y) = (5.81066, -4.63618)
256: (x,y) = (3.82557, -4.87992)
257: (x,y) = (5.62316, -5.75666)
258: (x,y) = (5.72783, -3.7594)
259: (x,y) = (7.52542, -2.88266)
260: (x,y) = (7.90703, -4.84591)
261: (x,y) = (6.06602, -5.62737)
262: (x,y) = (5.00619, -7.32347)
263: (x,y) = (3.03081, -7.63634)
264: (x,y) = (1.35347, -6.54706)
265: (x,y) = (0.122144, -8.12308)
266: (x,y) = (-1.65987, -7.2151)
267: (x,y) = (-2.3766, -9.08226)
268: (x,y) = (-4.3766, -9.08226)
269: (x,y) = (-5.83931, -10.4463)
270: (x,y) = (-7.68032, -9.6648)
271: (x,y) = (-9.55971, -10.3488)
272: (x,y) = (-7.65759, -9.7308)
273: (x,y) = (-6.31933, -8.24451)
274: (x,y) = (-4.4283, -8.89565)
275: (x,y) = (-3.64683, -7.05464)
276: (x,y) = (-5.48784, -7.8361)
277: (x,y) = (-6.48784, -6.10405)
278: (x,y) = (-6.2095, -8.08459)
279: (x,y) = (-4.21072, -8.15439)
280: (x,y) = (-2.77204, -9.5437)
281: (x,y) = (-3.05038, -11.5242)
282: (x,y) = (-4.16877, -9.86616)
283: (x,y) = (-2.83051, -11.3525)
284: (x,y) = (-4.50785, -12.4417)
285: (x,y) = (-4.75159, -14.4268)
286: (x,y) = (-6.70033, -13.9769)
287: (x,y) = (-5.08229, -12.8014)
288: (x,y) = (-3.35024, -13.8014)
289: (x,y) = (-1.47086, -14.4854)
290: (x,y) = (-1.22712, -16.4705)
291: (x,y) = (0.57047, -15.5937)
292: (x,y) = (-0.68817, -17.148)
293: (x,y) = (1.15284, -17.9295)
294: (x,y) = (-0.613056, -18.8684)
295: (x,y) = (-2.12247, -20.1806)
296: (x,y) = (-1.309, -22.0076)
297: (x,y) = (-0.161849, -20.3693)
298: (x,y) = (1.83054, -20.5437)
299: (x,y) = (0.0485276, -21.4516)
300: (x,y) = (0.893764, -19.639)
301: (x,y) = (1.5449, -21.5301)
302: (x,y) = (2.02874, -23.4707)
303: (x,y) = (3.86975, -22.6892)
304: (x,y) = (3.28501, -24.6018)
305: (x,y) = (2.16662, -26.2599)
306: (x,y) = (1.28988, -28.0575)
307: (x,y) = (3.27497, -27.8137)
308: (x,y) = (1.78869, -29.152)
309: (x,y) = (0.670299, -27.4939)
310: (x,y) = (2.65934, -27.703)
311: (x,y) = (3.89067, -26.1269)
312: (x,y) = (4.4083, -28.0588)
313: (x,y) = (3.31903, -29.7361)
314: (x,y) = (3.83666, -27.8043)
315: (x,y) = (4.80628, -29.5535)
316: (x,y) = (5.32392, -31.4854)
317: (x,y) = (3.38333, -31.9692)
318: (x,y) = (2.09775, -33.5013)
319: (x,y) = (4.07313, -33.8142)
320: (x,y) = (5.94029, -34.5309)
321: (x,y) = (7.37897, -33.1416)
322: (x,y) = (8.66455, -31.6095)
323: (x,y) = (6.76243, -30.9915)
324: (x,y) = (5.39844, -29.5288)
325: (x,y) = (5.57275, -31.5212)
326: (x,y) = (6.51169, -33.2871)
327: (x,y) = (5.25305, -31.7328)
328: (x,y) = (6.06652, -33.5598)
329: (x,y) = (4.10327, -33.9415)
330: (x,y) = (2.18075, -33.3902)
331: (x,y) = (1.49671, -35.2696)
332: (x,y) = (0.0104168, -36.6078)
333: (x,y) = (0.528055, -34.676)
334: (x,y) = (1.67521, -36.3143)
335: (x,y) = (2.15905, -38.2549)
336: (x,y) = (3.64534, -36.9166)
337: (x,y) = (2.67572, -35.1674)
338: (x,y) = (3.32686, -33.2763)
339: (x,y) = (3.43153, -31.2791)
340: (x,y) = (1.50901, -30.7278)
341: (x,y) = (0.66377, -32.5404)
342: (x,y) = (-1.22727, -33.1916)
343: (x,y) = (0.504784, -34.1916)
344: (x,y) = (1.15592, -36.0826)
345: (x,y) = (-0.258293, -37.4968)
346: (x,y) = (-2.1709, -36.9121)
347: (x,y) = (-0.329893, -37.6935)
348: (x,y) = (0.700183, -39.4079)
349: (x,y) = (1.4494, -41.2622)
350: (x,y) = (1.79669, -39.2926)
351: (x,y) = (0.707414, -37.6153)
352: (x,y) = (-1.17197, -36.9312)
353: (x,y) = (-0.620696, -35.0087)
354: (x,y) = (-1.76785, -33.3704)
355: (x,y) = (-3.07997, -34.8798)
356: (x,y) = (-4.86198, -33.9718)
357: (x,y) = (-4.51468, -35.9415)
358: (x,y) = (-2.78263, -36.9415)
359: (x,y) = (-3.30027, -38.8733)
360: (x,y) = (-2.58354, -40.7405)
361: (x,y) = (-1.19422, -39.3018)
362: (x,y) = (-2.96011, -40.2407)
363: (x,y) = (-4.4922, -41.5263)
364: (x,y) = (-5.11024, -43.4284)
365: (x,y) = (-5.79428, -45.3078)
366: (x,y) = (-6.10715, -43.3324)
367: (x,y) = (-6.59099, -41.3918)
368: (x,y) = (-6.7653, -43.3842)
369: (x,y) = (-7.73492, -45.1335)
370: (x,y) = (-7.59541, -47.1286)
371: (x,y) = (-9.32746, -46.1286)
372: (x,y) = (-8.20907, -44.4705)
373: (x,y) = (-8.72671, -46.4024)
374: (x,y) = (-6.8857, -45.6209)
375: (x,y) = (-8.524, -44.4738)
376: (x,y) = (-6.99192, -43.1882)
377: (x,y) = (-6.67905, -41.2128)
378: (x,y) = (-8.57008, -41.8639)
379: (x,y) = (-10.5698, -41.829)
380: (x,y) = (-8.64726, -41.2778)
381: (x,y) = (-7.33514, -39.7684)
382: (x,y) = (-9.33514, -39.7684)
383: (x,y) = (-9.81898, -37.8278)
384: (x,y) = (-11.3733, -36.5691)
385: (x,y) = (-13.322, -37.019)
386: (x,y) = (-12.704, -38.9211)
387: (x,y) = (-14.1182, -40.3353)
388: (x,y) = (-12.5639, -39.0767)
389: (x,y) = (-10.8678, -40.1365)
390: (x,y) = (-8.89243, -40.4494)
391: (x,y) = (-7.92281, -38.7002)
392: (x,y) = (-7.10934, -40.5273)
393: (x,y) = (-9.07259, -40.1456)
394: (x,y) = (-7.81395, -41.6999)
395: (x,y) = (-5.97294, -40.9185)
396: (x,y) = (-7.50503, -39.6329)
397: (x,y) = (-9.38441, -38.9489)
398: (x,y) = (-11.3163, -39.4665)
399: (x,y) = (-10.1979, -37.8084)
400: (x,y) = (-11.9299, -38.8084)
401: (x,y) = (-13.1055, -40.4265)
402: (x,y) = (-15.028, -39.8752)
403: (x,y) = (-13.1486, -40.5592)
404: (x,y) = (-12.0015, -42.1975)
405: (x,y) = (-12.6526, -44.0886)
406: (x,y) = (-14.2069, -45.3472)
407: (x,y) = (-15.8843, -46.4365)
408: (x,y) = (-13.9355, -45.9866)
409: (x,y) = (-12.8462, -44.3092)
410: (x,y) = (-12.1295, -46.1764)
411: (x,y) = (-13.7678, -45.0292)
412: (x,y) = (-14.3858, -46.9314)
413: (x,y) = (-12.8764, -45.6192)
414: (x,y) = (-14.6423, -46.5582)
415: (x,y) = (-12.7629, -45.8741)
416: (x,y) = (-10.9086, -46.6234)
417: (x,y) = (-12.6578, -47.593)
418: (x,y) = (-14.6383, -47.3146)
After 419 steps ,the subject has the following location:
(x,y) = (-16.2564, -48.4902)
 or
(m,a) = (51.1426, -108.534)
Average outward distance per step = 0.122059
